I_love_you thanks_bro
h y
help calling911
how_are_you? good_and_you?
good :)
Hi Hello_bro
hello hiiii
what_are_you_doing? talking_to_you_;)
where_are_you? on_your_phone_:l
I_went_to_talking_you sure!
whats_your_name? my_name_is_nour
why_are_you_crazy? :\
nnn NoneType
q NoneType
good_morning good_morning_:)
Tell_me_your_number Sure!_my_number_is_$^#^#&&#*@*__;)
can_i_ask_you_a_question? Sure!_,_what_do_you_want?
:v ::v
Help_me please_calling_911
I_DID_IT yeah_bro
Fine Good_:)
what_is_your_real_name i_am_legend_assistant
what's_your_name i_am_legend_:*
what_is_your_phone? Sammpple_;D
who_are_you? i_am_your_legend_assistant
what_can_you_do? Are_you_challenging_me_>(_...I_can_searching_anythings_for_you_:*_just_type_'search'_then_your_search
thanks Welcome_♡
